Chromosome/scaffold name	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name
1	ENSG00000000457	169818772	169863408	SCYL3
1	ENSG00000000460	169631245	169823221	C1orf112
1	ENSG00000000938	27938575	27961788	FGR
1	ENSG00000000971	196621008	196716634	CFH
1	ENSG00000001460	24683489	24743424	STPG1
1	ENSG00000001461	24742284	24799466	NIPAL3
1	ENSG00000004455	33473585	33546597	AK2
1	ENSG00000004487	23345941	23410182	KDM1A
1	ENSG00000006555	55245385	55266940	TTC22
1	ENSG00000007341	113066140	113163447	ST7L
1	ENSG00000007908	169691781	169733846	SELE
1	ENSG00000007923	6694228	6761984	DNAJC11
1	ENSG00000007933	171060018	171086959	FMO3
1	ENSG00000007968	23832922	23857712	E2F2
1	ENSG00000008118	209757062	209787283	CAMK1G
1	ENSG00000008128	1634169	1655766	CDK11A
1	ENSG00000008130	1682671	1711896	NADK
1	ENSG00000009307	115259534	115301297	CSDE1
1	ENSG00000009709	18957500	19075360	PAX7
1	ENSG00000009724	11086580	11107290	MASP2
1	ENSG00000009780	28052490	28089633	FAM76A
1	ENSG00000009790	209929377	209955668	TRAF3IP3
1	ENSG00000010072	231472850	231490769	SPRTN
1	ENSG00000010165	171750788	171783163	METTL13
1	ENSG00000010803	41492872	41707826	SCMH1
1	ENSG00000010932	171217638	171255117	FMO1
1	ENSG00000011007	24069645	24088549	TCEB3
1	ENSG00000011009	24117460	24122029	LYPLA2
1	ENSG00000011021	11866207	11903201	CLCN6
1	ENSG00000014914	149900543	149908791	MTMR11
1	ENSG00000016490	86934051	86965972	CLCA1
1	ENSG00000016602	87012761	87046437	CLCA4
1	ENSG00000018625	160085549	160113381	ATP1A2
1	ENSG00000020129	36023074	36032875	NCDN
1	ENSG00000020633	25226002	25291612	RUNX3
1	ENSG00000021852	57394883	57431813	C8B
1	ENSG00000023572	193065598	193075244	GLRX2
1	ENSG00000023902	150121373	150136916	PLEKHO1
1	ENSG00000023909	94350761	94374966	GCLM
1	ENSG00000024526	68939835	68962904	DEPDC1
1	ENSG00000025800	32573639	32642169	KPNA6
1	ENSG00000026751	160709037	160724611	SLAMF7
1	ENSG00000027644	156809855	156828810	INSRR
1	ENSG00000027869	156776035	156786654	SH2D2A
1	ENSG00000028137	12227060	12269285	TNFRSF1B
1	ENSG00000031698	109756540	109780791	SARS
1	ENSG00000033122	70034081	70617628	LRRC7
1	ENSG00000034971	171604557	171621823	MYOC
1	ENSG00000035687	244571796	244615436	ADSS
1	ENSG00000036549	78028101	78149104	ZZZ3
1	ENSG00000037637	16573334	16678949	FBXO42
1	ENSG00000040487	19638820	19655794	PQLC2
1	ENSG00000041988	6684926	6695646	THAP3
1	ENSG00000042781	215796236	216596738	USH2A
1	ENSG00000043514	40306723	40349183	TRIT1
1	ENSG00000044012	42619092	42621495	GUCA2B
1	ENSG00000047410	186280784	186344825	TPR
1	ENSG00000048707	12290124	12572099	VPS13D
1	ENSG00000049089	40766159	40783488	COL9A2
1	ENSG00000049239	9294834	9331396	H6PD
1	ENSG00000049245	7831329	7841492	VAMP3
1	ENSG00000049246	7844380	7905237	PER3
1	ENSG00000049247	7903143	7913572	UTS2
1	ENSG00000049249	7979907	8000926	TNFRSF9
1	ENSG00000050628	71318036	71513491	PTGER3
1	ENSG00000052723	115312100	115323306	SIKE1
1	ENSG00000053371	19630459	19638640	AKR7A2
1	ENSG00000053372	19578033	19586622	MRTO4
1	ENSG00000054116	36602173	36615098	TRAPPC3
1	ENSG00000054118	36690017	36770958	THRAP3
1	ENSG00000054267	235294949	235491534	ARID4B
1	ENSG00000054277	241753404	241840678	OPN3
1	ENSG00000054282	243419320	243663394	SDCCAG8
1	ENSG00000054392	210501596	210849638	HHAT
1	ENSG00000054523	10270863	10441661	KIF1B
1	ENSG00000055070	16679070	16724640	SZRD1
1	ENSG00000055732	85483765	85514182	MCOLN3
1	ENSG00000057252	179262925	179327815	SOAT1
1	ENSG00000057468	76262567	76378923	MSH4
1	ENSG00000057757	24104895	24114722	PITHD1
1	ENSG00000058085	183155373	183214035	LAMC2
1	ENSG00000058453	17066768	17299474	CROCC
1	ENSG00000058668	203595689	203713209	ATP2B4
1	ENSG00000058673	203764782	203823252	ZC3H11A
1	ENSG00000058799	54317392	54356407	YIPF1
1	ENSG00000058804	54231133	54304533	NDC1
1	ENSG00000059588	234527059	234614849	TARBP1
1	ENSG00000060642	27113963	27124889	PIGV
1	ENSG00000060656	29563028	29653325	PTPRU
1	ENSG00000060688	31732417	31769662	SNRNP40
1	ENSG00000060718	103342023	103574052	COL11A1
1	ENSG00000064703	112297867	112310638	DDX20
1	ENSG00000064886	111743393	111786062	CHI3L2
1	ENSG00000065135	110091233	110136975	GNAI3
1	ENSG00000065183	118472343	118509165	WDR3
1	ENSG00000065243	89149905	89301938	PKN2
1	ENSG00000065526	16174359	16266955	SPEN
1	ENSG00000065600	212537273	212588243	TMEM206
1	ENSG00000065978	43148098	43168020	YBX1
