Chromosome/scaffold name	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name
1	ENSG00000225880.4	91420	762886	LINC00115
1	ENSG00000240453.1	91420	762886	RP11-206L10.10
1	CATG00000042732.1	523499	569943	CATG00000042732.1
1	ENSG00000228327.2	676385	714012	RP11-206L10.2
1	ENSG00000237491.4	714171	717571	RP11-206L10.9
1	ENSG00000228794.4	763040	774303	RP11-206L10.11
1	ENSG00000272438.1	840192	841202	RP11-54O7.16
1	ENSG00000223764.2	850267	860304	RP11-54O7.3
1	CATG00000042837.1	902148	902358	CATG00000042837.1
1	ENSG00000272141.1	1092877	1093214	RP11-465B22.8
1	CATG00000035911.1	1310975	1312241	CATG00000035911.1
1	ENSG00000272455.1	1342756	1346234	RP4-758J18.13
1	ENSG00000225905.1	1355545	1358071	RP4-758J18.7
1	ENSG00000225285.1	1363502	1370941	RP4-758J18.10
1	CATG00000043375.1	1405940	1407047	CATG00000043375.1
1	CATG00000049798.1	1479280	1479588	CATG00000049798.1
1	ENSG00000272106.1	1548968	1551165	RP11-345P4.9
1	CATG00000043581.1	1565867	1567395	CATG00000043581.1
1	ENSG00000272004.1	1590487	1593186	RP11-345P4.10
1	ENSG00000268575.1	1592907	1677509	RP1-283E3.8
1	ENSG00000231050.1	1822628	1824415	RP1-140A9.1
1	CATG00000043630.1	1835917	1840524	CATG00000043630.1
1	ENSG00000226969.1	1980511	1981608	RP11-547D24.3
1	ENSG00000271806.1	2077926	2080223	RP5-892K4.1
1	ENSG00000234396.3	2130961	2136353	RP11-181G12.4
1	CATG00000043759.1	2154634	2159078	CATG00000043759.1
1	ENSG00000272449.1	2461278	2466804	RP3-395M20.12
1	ENSG00000238164.2	2472389	2487132	RP3-395M20.8
1	CATG00000043927.1	2504538	2509805	CATG00000043927.1
1	CATG00000043937.1	2512753	2513253	CATG00000043937.1
1	ENSG00000177133.6	2972002	2985431	LINC00982
1	ENSG00000238260.1	3538602	3541343	RP11-46F15.2
1	ENSG00000227372.6	3650849	3663939	TP73-AS1
1	ENSG00000236423.1	3816912	3836605	RP13-15E13.1
1	CATG00000044427.1	4071914	4106986	CATG00000044427.1
1	CATG00000117923.1	4663756	4668883	CATG00000117923.1
1	ENSG00000225077.2	6296245	6299000	LINC00337
1	ENSG00000271746.1	6453594	6454451	RP1-202O8.3
1	CATG00000003734.1	6545105	6548115	CATG00000003734.1
1	CATG00000004170.1	6663212	6665864	CATG00000004170.1
1	ENSG00000237436.1	6841148	6845042	RP11-312B8.1
1	CATG00000004815.1	6894348	6901636	CATG00000004815.1
1	CATG00000004816.1	6997076	6998343	CATG00000004816.1
1	ENSG00000225126.1	7498004	7507903	RP4-549F15.1
1	ENSG00000236266.1	7860920	7887402	RP3-467L1.4
1	CATG00000006009.1	8001065	8001661	CATG00000006009.1
1	CATG00000045522.1	8013351	8014247	CATG00000045522.1
1	ENSG00000238290.1	8086552	8089445	RP11-431K24.1
1	CATG00000006780.1	8121563	8122634	CATG00000006780.1
1	ENSG00000232912.1	8483517	8490224	RP5-1115A15.1
1	CATG00000008775.1	8921190	8922943	CATG00000008775.1
1	ENSG00000236269.1	8935846	8938087	ENO1-IT1
1	ENSG00000230679.1	8938893	8939953	ENO1-AS1
1	CATG00000046061.1	9018576	9031252	CATG00000046061.1
1	ENSG00000228526.2	9204109	9242977	RP3-510D11.1
1	ENSG00000234546.2	9241608	9254882	RP3-510D11.2
1	CATG00000046120.1	9293242	9294666	CATG00000046120.1
1	ENSG00000231789.2	9732459	9747622	RP11-558F24.4
1	CATG00000012310.1	9910724	9916543	CATG00000012310.1
1	ENSG00000228150.1	10002981	10010032	RP11-84A14.4
1	CATG00000013405.1	10134003	10137803	CATG00000013405.1
1	CATG00000046393.1	10269226	10270389	CATG00000046393.1
1	CATG00000046418.1	10433720	10458888	CATG00000046418.1
1	ENSG00000271989.1	10489937	10490726	RP4-736L20.3
1	ENSG00000271895.1	11089715	11090585	RP4-635E18.8
1	CATG00000016561.1	11120344	11120845	CATG00000016561.1
1	ENSG00000230337.1	11159486	11162108	RP4-635E18.6
1	CATG00000018241.1	11322873	11323627	CATG00000018241.1
1	CATG00000047111.1	11794754	11796746	CATG00000047111.1
1	CATG00000047338.1	12202958	12203683	CATG00000047338.1
1	CATG00000047371.1	12212610	12213371	CATG00000047371.1
1	CATG00000047451.1	12220767	12222026	CATG00000047451.1
1	CATG00000047463.1	12224037	12226905	CATG00000047463.1
1	CATG00000047643.1	12653417	12655358	CATG00000047643.1
1	CATG00000022496.1	12678440	12680076	CATG00000022496.1
1	ENSG00000272482.1	12678905	12679112	RP11-474O21.5
1	CATG00000047790.1	14019649	14027120	CATG00000047790.1
1	CATG00000047898.1	14675909	14746469	CATG00000047898.1
1	ENSG00000175147.7	15460206	15480108	TMEM51-AS1
1	ENSG00000228140.1	15725613	15736301	RP3-467K16.4
1	ENSG00000237301.1	15912630	15930107	RP4-680D5.2
1	ENSG00000271742.1	16008550	16010730	RP4-680D5.9
1	ENSG00000237938.1	16045200	16051904	RP11-288I21.1
1	ENSG00000224459.1	16066545	16076132	RP11-169K16.4
1	CATG00000048453.1	16117053	16126756	CATG00000048453.1
1	ENSG00000179743.2	16138391	16161417	RP11-169K16.9
1	CATG00000027868.1	16160999	16161447	CATG00000027868.1
1	CATG00000048495.1	16173547	16174007	CATG00000048495.1
1	ENSG00000227959.1	16481711	16483824	RP11-276H7.2
1	CATG00000029684.1	16563766	16566417	CATG00000029684.1
1	CATG00000030568.1	16825881	16830483	CATG00000030568.1
1	CATG00000031621.1	16940155	16941474	CATG00000031621.1
1	ENSG00000215908.5	16943602	16971190	CROCCP2
1	ENSG00000238142.1	17215032	17215945	RP11-108M9.4
1	ENSG00000272426.1	17230833	17231285	RP11-108M9.6
1	ENSG00000226526.1	17305472	17331586	RP1-37C10.3
1	CATG00000033364.1	17380810	17382994	CATG00000033364.1
1	ENSG00000204362.5	17516277	17524112	RP11-380J14.1
1	CATG00000034711.1	17766344	17776121	CATG00000034711.1
1	CATG00000049261.1	18615379	18624825	CATG00000049261.1
1	CATG00000038938.1	19283457	19284392	CATG00000038938.1
1	CATG00000049425.1	19315013	19337631	CATG00000049425.1
1	CATG00000049436.1	19384530	19384950	CATG00000049436.1
1	ENSG00000230424.1	19536836	19567082	RP1-43E13.2
1	CATG00000040343.1	19811006	19839535	CATG00000040343.1
1	ENSG00000235185.1	19918295	19923378	RP5-1056L3.1
1	CATG00000049673.1	20070095	20071970	CATG00000049673.1
1	ENSG00000225986.1	20499838	20513011	RP3-340N1.5
1	ENSG00000236963.1	20699098	20755149	RP4-749H3.1
1	CATG00000043736.1	20834728	20836534	CATG00000043736.1
1	ENSG00000117242.7	20969149	20978703	PINK1-AS
1	CATG00000044100.1	20988179	20989833	CATG00000044100.1
1	CATG00000049984.1	21497826	21498610	CATG00000049984.1
1	CATG00000046973.1	21599192	21599408	CATG00000046973.1
1	ENSG00000231105.1	21616504	21617437	RP5-1071N3.1
1	CATG00000047281.1	21672166	21675176	CATG00000047281.1
1	ENSG00000233431.1	21912978	21913549	RP11-63N8.3
1	CATG00000049547.1	22109756	22111407	CATG00000049547.1
1	ENSG00000218510.3	22351668	22357396	LINC00339
1	ENSG00000271840.1	22469342	22470574	RP1-224A6.9
1	CATG00000050442.1	22737467	22745457	CATG00000050442.1
1	CATG00000054428.1	23420485	23421105	CATG00000054428.1
1	CATG00000054852.1	23430075	23430749	CATG00000054852.1
1	ENSG00000261326.2	23603838	23616318	RP5-1057J7.6
1	CATG00000050771.1	23654228	23658326	CATG00000050771.1
1	CATG00000056735.1	23881608	23882731	CATG00000056735.1
1	CATG00000057128.1	23886133	23886916	CATG00000057128.1
1	CATG00000057421.1	23889112	23889669	CATG00000057421.1
1	ENSG00000236810.1	24084878	24104780	RP5-886K2.3
1	CATG00000057939.1	24127451	24128236	CATG00000057939.1
1	CATG00000051326.1	24822419	24829197	CATG00000051326.1
1	ENSG00000229162.1	25256947	25291079	RP11-84D1.1
1	CATG00000064178.1	25357577	25379251	CATG00000064178.1
1	CATG00000066868.1	26093972	26095071	CATG00000066868.1
1	ENSG00000228172.1	26143077	26146406	RP1-317E23.3
1	ENSG00000236528.1	26186046	26187625	RP1-125I3.2
1	ENSG00000236782.1	26496437	26498323	RP11-96L14.7
1	CATG00000052054.1	26550185	26551885	CATG00000052054.1
1	CATG00000052117.1	26751599	26758589	CATG00000052117.1
1	CATG00000052162.1	26816274	26827453	CATG00000052162.1
1	CATG00000072415.1	26827618	26829132	CATG00000072415.1
1	ENSG00000260063.1	27018349	27022426	RP5-968P14.2
1	CATG00000075280.1	27371249	27389357	CATG00000075280.1
1	CATG00000077368.1	27692746	27698033	CATG00000077368.1
1	ENSG00000237429.1	27849003	27852008	RP1-159A19.4
1	ENSG00000233975.1	27967601	27986608	RP11-288L9.1
1	ENSG00000225886.1	27992897	27994412	RP11-288L9.4
1	ENSG00000269971.1	28099729	28100552	RP3-426I6.5
1	CATG00000079744.1	28103722	28274056	CATG00000079744.1
1	CATG00000052975.1	28434344	28437805	CATG00000052975.1
1	CATG00000053029.1	28450806	28453444	CATG00000053029.1
1	ENSG00000270605.1	28562863	28573725	RP5-1092A3.4
1	CATG00000053100.1	28653115	28655410	CATG00000053100.1
1	CATG00000053144.1	28830371	28832337	CATG00000053144.1
1	ENSG00000242125.2	28832555	28834782	SNHG3
1	ENSG00000197989.9	28900056	28908384	SNHG12
1	ENSG00000229388.1	28969695	28971704	RP11-442N24__B.1
1	CATG00000083770.1	29475650	29508331	CATG00000083770.1
1	CATG00000084562.1	29557537	29557977	CATG00000084562.1
1	CATG00000053458.1	30576624	30582945	CATG00000053458.1
1	ENSG00000186056.5	31191615	31194570	MATN1-AS1
1	CATG00000089041.1	31229904	31230633	CATG00000089041.1
1	ENSG00000223382.3	31297074	31307114	RP1-65J11.1
1	CATG00000053614.1	31485756	31496770	CATG00000053614.1
1	CATG00000053667.1	31626202	31627792	CATG00000053667.1
1	CATG00000092619.1	31627939	31630052	CATG00000092619.1
1	ENSG00000228682.2	31971881	31974167	RP11-439L8.3
1	ENSG00000229167.1	32033018	32044831	RP11-73M7.1
1	ENSG00000235790.3	32110657	32111130	RP11-73M7.6
1	ENSG00000264078.1	32110657	32117891	RP11-73M7.9
1	CATG00000054022.1	32233686	32254207	CATG00000054022.1
1	CATG00000097771.1	32403484	32406255	CATG00000097771.1
1	CATG00000098061.1	32410204	32410602	CATG00000098061.1
1	CATG00000098185.1	32420523	32488357	CATG00000098185.1
1	CATG00000054089.1	32475079	32479129	CATG00000054089.1
1	ENSG00000203325.3	32517891	32539075	RP11-277A4.4
1	CATG00000054124.1	32644794	32645184	CATG00000054124.1
1	CATG00000054247.1	32802371	32803026	CATG00000054247.1
1	CATG00000098694.1	32860244	32863088	CATG00000098694.1
1	ENSG00000224409.1	33171202	33190858	RP11-114B7.6
1	CATG00000101288.1	33429679	33431112	CATG00000101288.1
1	CATG00000101701.1	33447013	33448314	CATG00000101701.1
1	ENSG00000225313.2	33797891	33801033	RP11-415J8.3
1	ENSG00000233246.1	33815673	33818778	RP11-415J8.5
1	ENSG00000231163.1	34335797	34339309	RP5-1007G16.1
1	CATG00000054624.1	34905216	35150910	CATG00000054624.1
1	ENSG00000241014.1	35439956	35450906	RP11-244H3.1
1	ENSG00000201868.1	35658326	35659525	Y_RNA
1	ENSG00000239636.1	36035271	36043378	RP4-728D4.2
